	leukocyty	weight	hbver	er-cv	ast	indicator	hematokrit	trombocyty	name	smoker	ssn	alt	etytr	erytrocyty	hemoglobin	alp	relationship
0	5.86641	72.15664	7.47768	28.38607	38.72133	1.00000	8.96306	5.54324	Mr. Andrew Webster Jr.	no	129-57-1271	5.22897	5.41309	5.81047	6.92884	75.92323	widowed
1	4.83778	85.95601	7.41751	41.27266	36.95488	1.00000	7.85628	6.04889	Zachary Smith	Y	498-81-0776	4.31739	6.23896	5.09420	5.57135	77.02905	divoced
2	4.24648	94.50864	4.90480	55.29153	45.54332	0.00000	4.23485	8.37975	Nathan Patterson	Y	506-31-1710	4.87192	7.95260	6.16327	6.42330	88.22852	separated
3	3.51224	71.79143	6.69697	49.57050	41.03553	1.00000	6.92955	3.40055	Jessica Mahoney	no	366-34-0591	2.77137	3.48445	5.24063	6.28255	90.44713	divoced
4	7.78402	49.57289	6.45086	28.69475	40.47976	1.00000	6.39201	4.11305	Damon Gardner	no	774-03-4511	6.13950	4.58816	4.01041	5.63217	72.61973	divoced
5	9.96492	75.09380	5.41596	48.25476	14.74983	0.00000	6.75991	6.33333	Mr. Andrew Allen	no	697-45-1248	5.79272	4.94056	6.70831	7.24288	70.53006	married
6	5.55363	78.56148	7.94721	63.24376	56.46703	0.00000	6.66322	8.61905	Kathleen Gonzales	Y	609-27-3301	9.77185	7.68886	7.09905	4.92560	60.95223	divoced
7	4.17617	80.30695	7.25505	44.52540	45.44029	1.00000	6.08372	3.71040	Christine Williams	no	508-67-4942	8.52163	5.01093	7.00375	6.86717	81.39786	single
8	5.04904	73.33031	7.48505	22.51674	52.36294	1.00000	8.06229	6.64348	Dana Webster	yes	367-19-6812	12.28709	7.10916	7.57839	7.14816	76.41611	separated
9	8.10252	117.22388	6.85811	40.11197	41.17232	1.00000	3.35473	6.93129	Melissa Mcconnell	yes	650-84-6695	1.66654	6.37111	4.58878	7.03567	77.63574	divoced
10	5.36822	63.25802	8.45169	51.23205	51.85419	1.00000	8.28769	4.78528	John Prince	N	413-03-2594	7.52433	3.94927	6.88652	7.54471	63.39638	single
11	8.56836	79.23893	5.91197		55.51996	0.00000	7.33509	7.10292	Dana Hayden	no	734-33-0744	7.62205	4.46509	7.05447	6.74238	82.26011	nop
12	7.34360	87.12199	7.48006	30.96816	53.48295	1.00000	7.61984	2.14375	Tara Douglas	no	274-10-4605	6.90228	3.42777	5.75854	6.80690	80.97871	single
13	5.73527	102.75387		48.93885	61.29103	1.00000	7.27200	3.04095	Karen Jones	yes	807-09-6823	6.21792	3.11753	6.39604	5.44711	69.86461	married
14	5.31958	25.99373	7.53940	54.91824	26.60206	1.00000	7.01908	5.25946	Franklin Morrison	yes	505-30-0890	9.88708	6.07935	7.11210	6.51275	87.36108	single
15	9.09032	49.91665	7.04431	35.99177	40.73124	0.00000	7.02169	5.49373	Ann Daniels	no	101-26-1901	7.31437	3.50672	6.35257	7.56891	56.25678	married
16	5.98130	98.48478	7.16221	76.89353	39.97266	0.00000	6.90803	6.94118	Jeffrey Burch	Y	108-67-3115	2.73653	10.08801	5.15665	6.16429	90.17599	single
17	4.97147	39.73735	6.69682	52.95010	41.07378	1.00000	8.42549	5.60769	Ricky Powell	N	222-30-4847	13.92497	5.39440	8.09775	5.24358	68.43511	divoced
18	8.69564	98.04546	8.06108	60.11870	46.94503	1.00000	3.04858	7.81720	Victoria Powers	no	492-19-4851	30.68513	6.55112	9.09901	7.88146	47.59827	single
19	8.17147	77.45272	5.09037	38.37934	61.50212	1.00000	5.31065	5.33605	Brandy Castro	no	136-35-7488	10.42024	5.15980	7.40161	6.86947	79.47630	divoced
20	7.55670	63.61946	6.39222	48.26486	59.70072	1.00000	4.76535	4.36099	James Vincent	yes	545-99-2929	7.50891	4.79731	6.61762	7.21402	70.88619	divoced
21	7.30833	48.70925	6.23661	51.40984	35.94715	1.00000	8.18005	6.57072	Courtney Ortega	yes	560-34-0613	13.98595	5.78876	8.08709	5.50375	76.84395	divoced
22	6.36605	78.49782	6.27507	75.44355	68.36208	0.00000	2.70485	9.40437	David Paul	no	880-59-6064	11.32335	6.98372	7.78781	5.17528	69.36573	divoced
23	7.32738	64.70807	7.50550	51.96436	53.80179	1.00000	7.45230	2.84442	Savannah Decker	no	867-58-1775	7.63773	4.04301	6.83046	5.99960	76.79963	married
24	8.59647	72.78802	6.61591	58.39096	45.80342	0.00000	6.41053	8.04399	Tyler Cruz	Y	667-25-2233	18.53705	5.74234	8.38846	6.11605	85.86109	separated
25	8.08544	-2.76110	5.94526	43.80502	58.86527	1.00000	6.62854	3.27912	Sheila Hansen	Y	434-55-8777	5.34314	3.58731	5.96208	5.26811	69.80760	divoced
26	5.99840	15.31140	8.28925	44.65207	48.97687	1.00000	6.37040	5.95503	Cory Zimmerman	no	342-28-2637	11.98036	6.68522	7.73564	6.89052	90.01845	married
27	6.94596	52.51146	6.01839	42.72336	22.90924	0.00000	5.75083	5.69158	Daniel Garcia	no	577-54-3577	8.86344	8.59017	6.60905	5.48409	73.21468	married
28	4.31974	90.13075	6.22888	34.68974	54.04030	1.00000	7.63191	3.72528	Nathan Lawrence	no	644-24-6144	5.86154	4.16896	6.70342	7.27177	67.32138	married
29	4.62699	65.65051	7.65831	25.01408	59.00398	0.00000	5.23928	8.35506	Joseph Stone	yes	884-49-9011	11.16161	8.43091	7.49594	6.39221	86.00712	married
30	6.17592	47.38984	5.97172	60.93137	61.46574	1.00000	8.18218	5.74950	Melissa Simmons	N	601-59-1975	4.28676	5.25080	6.35059	5.47237	74.58595	divoced
31	7.78782	77.03254	7.88778	81.66042	37.70237	1.00000	4.24554	6.71128	Marcus Spence	Y	858-37-4850	3.64718	6.59427	6.07778	6.68656	85.62939	single
32	5.77949	57.40467	6.13074	72.54096	68.97196	1.00000	5.91145	8.72642	Kristina Turner	no	047-28-1303	7.87737	8.61885	7.25958	6.83160	88.52307	married
