job	company	sex	residence	blood_group	ssn	name	birthdate	race	age	leukocyty	weight	hbver	HK group	weight group	er-cv	ast	indicator	hematokrit	trombocyty	smoker	alt	etytr	erytrocyty	hemoglobin	alp	relationship
Chief Marketing Officer	Torres, Parker and Fisher	F	"584 Chan Unions
New Robertside, MN 27858"	B+	318-35-2572	Lori Delgado	1988-04-12	White	33	4.28016	7.78152	7.10483	9-10	0-10	52.53265	57.0878	1.0	9.8833	8.47868	yes	10.25955	8.08841	7.40501	6.77725	77.25589	divorced
Chief Marketing Officer	Torres, Parker and Fisher	F	"584 Chan Unions
New Robertside, MN 27858"	B+	318-35-2572	Lori Delgado	1988-04-12	White	33	8.50733	81.13186	8.34736	6-7	80-90	39.92065	61.01875	0.0	6.66963	7.88205	yes	7.74958	5.42715	7.29108	4.55265	44.91433	divorced
Chief Marketing Officer	Torres, Parker and Fisher	F	"584 Chan Unions
New Robertside, MN 27858"	B+	318-35-2572	Lori Delgado	1988-04-12	White	33	8.56251	59.1873	6.7714	4-5	50-60	33.57508	63.32459	1.0	4.73731	6.20294	no	4.11068	5.48093	5.88646	6.19318	83.11181	widowed
Chief Marketing Officer	Torres, Parker and Fisher	F	"584 Chan Unions
New Robertside, MN 27858"	B+	318-35-2572	Lori Delgado	1988-04-12	White	33	8.56168	36.7218	5.10441	5-6	30-40	46.09168	33.75251	1.0	5.46837	6.68672	yes	11.18838	6.01911	7.63798	6.48949	89.688798	divorced
Physiological scientist	Lopez PLC	F	"116 Ryan Extensions
Jonesport, ND 67361"	B-	528-41-8966	Laura Jones PhD	1919-12-22	White	101	7.45508	92.52815	7.31075	5-6	90-100	35.01141	32.66124	0.0	5.14382	7.73217	no	4.10851	5.22777	5.9553	6.22521	87.44522	married
Physiological scientist	Lopez PLC	F	"116 Ryan Extensions
Jonesport, ND 67361"	B-	528-41-8966	Laura Jones PhD	1919-12-22	White	101	7.61129	96.25641	7.24692	3-4	90-100	18.08958	58.25904	0.0	3.54945	5.98444	no	8.96975	4.442	7.05434	6.29181	84.17317	married
Physiological scientist	Lopez PLC	F	"116 Ryan Extensions
Jonesport, ND 67361"	B-	528-41-8966	Laura Jones PhD	1919-12-22	White	101	5.27343	62.79938	5.7686	3-4	60-70	45.26158	51.89621	0.0	3.09883	6.91541	no	6.19593	7.254	6.06095	6.70749	84.61173	single
Physiological scientist	Lopez PLC	F	"116 Ryan Extensions
Jonesport, ND 67361"	B-	528-41-8966	Laura Jones PhD	1919-12-22	White	101	6.00172	74.98441	7.59931	7-8	70-80	36.43707	37.77822	1.0	7.87873	5.53365	no	12.58184	5.51557	7.50683	6.09289	84.14677	divorced
Academic librarian	Aguilar, Garcia and Baker	F	"5895 Richard Divide
West Ericside, CO 97342"	B+	626-08-5588	Alexandra Hess	1924-02-28	Black	97	6.35191	13.09285	7.93881	7-8	10-20	55.89252	53.33466	1.0	7.549	5.42684	no	6.65883	5.57787	7.19668	7.2822119999999995	43.71198	divorced
Academic librarian	Aguilar, Garcia and Baker	F	"5895 Richard Divide
West Ericside, CO 97342"	B+	626-08-5588	Alexandra Hess	1924-02-28	Black	97	8.741	96.20126	7.09536	5-6	90-100	44.08081	36.01993	1.0	5.21951	7.11924	no	8.08315	6.20004	7.10235	5.38865	71.09752	married
Academic librarian	Aguilar, Garcia and Baker	F	"5895 Richard Divide
West Ericside, CO 97342"	B+	626-08-5588	Alexandra Hess	1924-02-28	Black	97	8.55296	69.86155	6.59674	2-3	60-70	72.84969	71.91276	0.0	2.83887	7.77001	yes	6.74128	6.6224	6.60977	8.29517	34.14911	divorced
Academic librarian	Aguilar, Garcia and Baker	F	"5895 Richard Divide
West Ericside, CO 97342"	B+	626-08-5588	Alexandra Hess	1924-02-28	Black	97	4.61008	50.17317	8.54054	8-9	50-60	37.18293	29.2622	1.0	8.30916	6.08327	no	18.926994499999996	5.81836	8.45297	7.97732	48.90007	single
