	job	company	sex	residence	blood_group	ssn	name	birthdate	race
0	Chief Marketing Officer	Torres, Parker and Fisher	F	"584 Chan Unions
New Robertside, MN 27858"	B+	318-35-2572	Lori Delgado	04/12/1988, 00:00:00	White
1	Physiological scientist	Lopez PLC	F	"116 Ryan Extensions
Jonesport, ND 67361"	B-	528-41-8966	Laura Jones PhD	1919/12/22	White
2	Academic librarian	Aguilar, Garcia and Baker	F	"5895 Richard Divide
West Ericside, CO 97342"	B+	626-08-5588	Alexandra Hess	1924/02/28	Black
3	Field seismologist	Greer Ltd	M	"51331 Singh Garden
Michaelmouth, CO 07747"	O-	061-61-2641	Nicholas Russo	1991/12/01	White
4	Programmer, applications	Valenzuela and Sons	M	"625 Donna Pines Suite 734
New Brenda, TX 54807"	AB-	742-97-6478	John Arnold	1983-12-28	Asian
5	Programme researcher, broadcasting/film/video	Hogan Ltd	F	"65379 Nicholas Point Suite 044
South Jeff, MS 03107"	A-	821-99-8430	Natasha Brennan	05/10/2011, 00:00:00	Hawaiian
6	Analytical chemist	Adams-Moore	M	"06207 Walters Pine Suite 286
New Kayla, DE 31849"	B-	883-59-6422	Ethan Perkins	07/30/1982, 00:00:00	Asian
7	Engineer, mining	Boyle-Farmer	M	"8153 Tammy Lodge
Castanedashire, KY 28824"	A+	480-72-4596	Kenneth Branch	03 Mar 1995	White
8	Claims inspector/assessor	Chavez and Sons	F	"3738 Roth Island
North Stephanie, MA 66593"	A-	494-87-0077	Shelley Reeves	2001/03/04	Hawaiian
9	International aid/development worker	Williams, Campbell and Gomez	F	"7203 Barr Corner Apt. 093
Tatestad, TX 09698"	O+	062-12-9692	Teresa Ramos	12/02/1915, 00:00:00	White
10	Engineer, building services	Jones, Salas and Mora	F	"4778 Ponce Trafficway Apt. 897
Rasmussenborough, NV 38011"	B+	343-42-7984	Sarah Ford	1920/06/13	White
11	Therapeutic radiographer	Foster and Sons	F	"169 Gomez Key
East Michael, HI 15402"	AB-	727-45-4619	Amanda Quinn	03 Apr 1960	White
12	Operational researcher	Owens LLC	M	"467 Calderon Stravenue
New Gregoryfort, CT 40698"	A+	553-24-9773	David Ford	1923-05-19	White
13	Logistics and distribution manager	Nichols and Sons	F	"5718 Nathaniel Ville
North Benjamin, GA 09833"	B+	718-22-5381	Lauren Ramirez	2012/05/11	White
14	Fish farm manager	Melendez-Robinson	M	"433 Richard Lock Apt. 371
Port Sherri, WI 55192"	A+	439-54-5474	Vernon Houston	1983-08-11	Asian
15	Engineer, manufacturing systems	Brock, Ponce and Vargas	F	"7227 Hall Flat
Fisherville, IL 88873"	B+	285-04-6106	Jennifer Schwartz	03/14/2008, 00:00:00	Black
16	Games developer	Buchanan, Franco and Allen	F	"Unit 4054 Box 4956
DPO AA 25662"	O-	562-30-6108	Charlotte Salazar	1934/01/11	Black
17	Amenity horticulturist	Cook-Dixon	M	"939 Blake Manors
New Edwin, WY 52577"	B-	640-63-0379	James Quinn	08/27/1912, 00:00:00	White
18	Patent attorney	Olsen-Baker	F	"076 Randy Isle Apt. 511
Roberttown, NY 73523"	A-	887-94-5958	Leslie Davis	13 May 1932	White
19	Building control surveyor	Smith, Murray and Pope	M	"36520 Brendan Knoll Apt. 496
Smithbury, RI 22017"	AB-	253-39-9029	Larry Bond	1919/03/01	White
20	Commercial horticulturist	Watts Ltd	F	"95902 William Wells Apt. 869
Smithshire, TX 64385"	O-	318-26-2102	Christina Tran	1910/12/30	Hawaiian
21	Water quality scientist	Jackson-Simpson	F	"5911 Harris Glens Suite 603
South Laurenside, DC 41712"	O+	175-43-0985	Melissa Anderson	1992/06/01	White
22	Public librarian	Lewis LLC	M	"4157 Johnson Flat
Santosmouth, SD 07820"	AB+	201-35-1569	Brian Perry	14 Jul 1972	White
23	Education officer, community	Fischer-Lewis	M	"276 Serrano Light Suite 126
Ramseymouth, UT 34728"	AB+	247-65-3554	Jeffrey Reed	1943-04-05	Hawaiian
24	Dramatherapist	Woodard LLC	F	"7075 Owens Summit Suite 142
Beardmouth, KS 17682"	A-	880-67-3212	Kimberly Mccall	10/15/1935, 00:00:00	Asian
25	Garment/textile technologist	Gibson-Blanchard	F	"PSC 8257, Box 9052
APO AA 92841"	B+	196-63-3594	Amy Robinson	03/01/1920, 00:00:00	Indian
26	Exhibitions officer, museum/gallery	Phillips-Hammond	M	"981 Anthony Harbors
Floydborough, IA 83942"	B+	724-40-9115	Todd Roth	2017-12-20	White
27	Scientist, water quality	Smith and Sons	F	"274 Rachel Trail Apt. 338
New Alexander, LA 95012"	B+	809-39-6383	Shelby Perkins	30 Jun 1920	Asian
28	Community arts worker	Thomas, Fox and Johnson	F	"34412 Williams Fork
East Benjamin, TN 62743"	AB-	605-34-7050	Emily Fuller	1929/01/05	White
29	Geophysicist/field seismologist	Baker, Sullivan and Barrett	M	"207 Aguilar Crossroad
Johnsonville, CA 68753"	A+	316-52-0650	Caleb Gilbert	1917/10/08	White
30	Lighting technician, broadcasting/film/video	Knight, Johnson and Carlson	F	"50440 Paula Valley
Martinezmouth, AR 08049"	O+	119-22-7039	Alyssa Higgins	1924/05/20	Black
31	Forensic psychologist	Cox, Robbins and Williams	M	"001 Juarez Village
Elizabethstad, MS 07386"	B+	192-77-4595	Miguel Pittman	30 Oct 1948	Black
32	Midwife	Walker, Wu and Baker	F	"245 Jerome Track
North Shaneside, OH 76608"	A+	052-23-6433	Natalie Irwin	17 May 1974	White
33	Furniture conservator/restorer	Barnes Ltd	M	"3617 Davis Union Apt. 977
Port Samuel, VT 50436"	AB-	132-86-5939	Luke Cantrell	1996/06/09	Black
34	Dietitian	Williams, Chavez and Lyons	F	"0793 Barbara Fort Suite 829
Robertsberg, CO 07239"	AB-	610-15-3294	Anna Conner	1918/04/11	Black
35	Forensic psychologist	Bradley Ltd	F	"007 Cody Viaduct Suite 037
South Paulborough, DC 31476"	AB+	849-05-5764	Shari Hood	16 Mar 1953	Black
36	Teacher, primary school	Nelson, Jackson and Richardson	M	"28663 Acosta Points
New Julianberg, MI 60771"	A+	283-92-2995	Duane Ford	1910/10/06	White
37	Building surveyor	Hodges-Ross	F	"4687 Moore Mills Suite 409
West Linda, WY 11009"	O+	177-24-9448	Brooke Reed	1911-11-05	Indian
38	Community pharmacist	Collins LLC	M	"166 Davis Village
North Jennifer, NE 53958"	O+	818-45-2643	Tyler Young	1951/04/12	Black
39	Race relations officer	Richardson-Rich	M	"165 William Spur Apt. 723
North Riley, NJ 48192"	B+	125-13-6188	Matthew Gonzalez	1918-04-02	Black
40	Horticultural therapist	Haynes-Saunders	F	"692 Cindy Via
Wattsmouth, WA 26966"	O-	400-54-6759	Amber Martinez	19 Sep 1906	Indian
41	Manufacturing systems engineer	Moore, Combs and Ross	F	"82234 Cantrell View Suite 484
East Jasonstad, CA 38344"	A+	437-89-8414	Victoria Green	1973-04-09	Asian
42	Educational psychologist	Moore, Smith and Alvarez	M	"4981 Carrie Mountains
Marshallchester, UT 08211"	AB-	039-16-8980	Craig Hernandez	02/21/1989, 00:00:00	Black
