job	company	sex	residence	blood_group	ssn	name	birthdate	race	age
Chief Marketing Officer	Torres, Parker and Fisher	F	"584 Chan Unions
New Robertside, MN 27858"	B+	318-35-2572	Lori Delgado	1988-04-12	White	33
Physiological scientist	Lopez PLC	F	"116 Ryan Extensions
Jonesport, ND 67361"	B-	528-41-8966	Laura Jones PhD	1919-12-22	White	101
Academic librarian	Aguilar, Garcia and Baker	F	"5895 Richard Divide
West Ericside, CO 97342"	B+	626-08-5588	Alexandra Hess	1924-02-28	Black	97
Field seismologist	Greer Ltd	M	"51331 Singh Garden
Michaelmouth, CO 07747"	O-	061-61-2641	Nicholas Russo	1991-12-01	White	29
Programmer, applications	Valenzuela and Sons	M	"625 Donna Pines Suite 734
New Brenda, TX 54807"	AB-	742-97-6478	John Arnold	1983-12-28	Asian	37
Programme researcher, broadcasting/film/video	Hogan Ltd	F	"65379 Nicholas Point Suite 044
South Jeff, MS 03107"	A-	821-99-8430	Natasha Brennan	2011-05-10	Hawaiian	10
Analytical chemist	Adams-Moore	M	"06207 Walters Pine Suite 286
New Kayla, DE 31849"	B-	883-59-6422	Ethan Perkins	1982-07-30	Asian	39
Engineer, mining	Boyle-Farmer	M	"8153 Tammy Lodge
Castanedashire, KY 28824"	A+	480-72-4596	Kenneth Branch	1995-03-03	White	26
Claims inspector/assessor	Chavez and Sons	F	"3738 Roth Island
North Stephanie, MA 66593"	A-	494-87-0077	Shelley Reeves	2001-03-04	Hawaiian	20
International aid/development worker	Williams, Campbell and Gomez	F	"7203 Barr Corner Apt. 093
Tatestad, TX 09698"	O+	062-12-9692	Teresa Ramos	1915-12-02	White	105
Engineer, building services	Jones, Salas and Mora	F	"4778 Ponce Trafficway Apt. 897
Rasmussenborough, NV 38011"	B+	343-42-7984	Sarah Ford	1920-06-13	White	101
Therapeutic radiographer	Foster and Sons	F	"169 Gomez Key
East Michael, HI 15402"	AB-	727-45-4619	Amanda Quinn	1960-04-03	White	61
Operational researcher	Owens LLC	M	"467 Calderon Stravenue
New Gregoryfort, CT 40698"	A+	553-24-9773	David Ford	1923-05-19	White	98
Logistics and distribution manager	Nichols and Sons	F	"5718 Nathaniel Ville
North Benjamin, GA 09833"	B+	718-22-5381	Lauren Ramirez	2012-05-11	White	9
Fish farm manager	Melendez-Robinson	M	"433 Richard Lock Apt. 371
Port Sherri, WI 55192"	A+	439-54-5474	Vernon Houston	1983-08-11	Asian	38
Engineer, manufacturing systems	Brock, Ponce and Vargas	F	"7227 Hall Flat
Fisherville, IL 88873"	B+	285-04-6106	Jennifer Schwartz	2008-03-14	Black	13
Games developer	Buchanan, Franco and Allen	F	"Unit 4054 Box 4956
DPO AA 25662"	O-	562-30-6108	Charlotte Salazar	1934-01-11	Black	87
Amenity horticulturist	Cook-Dixon	M	"939 Blake Manors
New Edwin, WY 52577"	B-	640-63-0379	James Quinn	1912-08-27	White	109
Patent attorney	Olsen-Baker	F	"076 Randy Isle Apt. 511
Roberttown, NY 73523"	A-	887-94-5958	Leslie Davis	1932-05-13	White	89
Building control surveyor	Smith, Murray and Pope	M	"36520 Brendan Knoll Apt. 496
Smithbury, RI 22017"	AB-	253-39-9029	Larry Bond	1919-03-01	White	102
