job	company	sex	residence	blood_group	ssn	name	birthdate	race	age	leukocyty	weight	hbver	HK group	weight group	er-cv	ast	indicator	hematokrit	trombocyty	smoker	alt	etytr	erytrocyty	hemoglobin	alp	relationship
Teacher, primary school	Fowler, Stone and Gibson	M	"097 Mark Mountains
Port Amandatown, TN 97330"	A-	888-28-9672	Frank Arnold	1981-11-07	White	40	8.03109	95.43359	6.30941	7-8	90-100	32.52673	32.60333	1.0	7.49011	5.13414	no	6.66308	5.41413	5.17944	7.95201	49.71013	married
Clinical molecular geneticist	Miller Group	F	"35315 Turner Village
Yvetteburgh, AR 90139"	B-	476-13-5438	Danielle Hendrix	1944-06-18	White	77	5.27575	90.72465	7.97583	8-9	90-100	57.13281	75.80384	1.0	8.04675	7.18682	yes	5.95489	7.05101	7.39954	7.84155	48.26715	married
Geographical information systems officer	Scott-Willis	M	"2010 Matthew Burg
South Christopher, LA 80329"	A-	162-60-1068	Bruce Briggs	1978-04-24	White	43	8.40553	61.4765	5.78958	5-6	60-70	50.41587	60.31697	1.0	5.55444	4.36256	no	17.42619	4.0933	8.13805	7.5734	55.32151	married
Therapist, horticultural	Walsh, Knapp and Franklin	F	"220 Kenneth Square
Jamesville, CO 78082"	AB-	199-28-3927	Natasha Parrish	1915-05-04	White	106	5.5005	122.42325	7.7355	5-6	120-130	52.45472	46.31128	0.0	5.84696	7.79475	no	6.3914	9.38764	5.10512	6.14458	84.64032	single
Lexicographer	Neal Inc	F	"834 Rachel Radial
Port Harry, MD 02962"	A+	240-79-3554	Patricia Williamson	1929-11-19	White	91	5.01923	64.26748	5.98013	5-6	60-70	63.06374	41.55599	1.0	5.3404	8.20268	yes	5.08615	7.50529	5.8039	7.62668	57.33739	married
Surveyor, building control	Scott-Gibson	F	"0517 Hoover Harbors Apt. 670
North Deniseville, CT 73001"	AB+	853-63-2317	Kristen Brown	1946-01-23	White	75	7.68455	58.89808	5.91055	5-6	50-60	62.81256	30.30118	0.0	5.29877	9.9419	no	6.95475	7.22479	7.0858	6.52781	83.47703	single
Communications engineer	Nelson-Roman	F	"13857 Jennifer Orchard Suite 439
Jimeneztown, OR 02630"	AB+	170-99-1827	Angel Brown	2014-12-31	White	6	8.94364	28.59872	6.24109	5-6	20-30	60.02986	52.82548	1.0	5.95686	5.20203	no	6.79733	4.39198	6.36623	5.15144	68.58185	single
Dispensing optician	Ruiz Group	F	"695 Michael Ramp Apt. 023
Port John, MA 43317"	B+	035-05-8900	Amy Henderson	1929-07-03	White	92	6.15875	86.8831	7.92359	4-5	80-90	46.67556	40.16938	0.0	4.60777	9.86879	no	9.67558	6.44859	6.3027	5.71664	80.72871	married
Licensed conveyancer	Jacobs-Nguyen	M	"6570 Miller Courts
Websterville, WY 40479"	B+	235-62-1019	Alexander Davidson	1969-06-21	White	52	7.89053	52.27785	5.98409	6-7	50-60	30.33091	62.24889	1.0	6.28061	3.33421	yes	6.20871	3.78082	5.79469	7.11815	75.63897	married
Pharmacist, hospital	Marshall-Jones	F	"8615 Melissa Lock
West Justin, KY 19335"	O-	238-73-3635	Mary Richardson DVM	1993-06-27	Asian	28	5.76628	66.32095	5.99454	7-8	60-70	49.98436	34.56439	1.0	7.76976	4.84667	yes	5.89856	5.70604	6.11204	8.61382	20.2715	divorced
Television/film/video producer	Taylor-Jones	M	"6942 Carter Ridges Apt. 761
Johnland, NV 01508"	A+	577-54-3577	Daniel Garcia	1995-11-06	White	26	6.51063	56.31472	5.89224	5-6	50-60	68.40477	56.50453	1.0	5.48504	3.55194	yes	28.57274	5.16884	8.91906	7.15391	72.2763	widowed
